317,"Delavnica: Uvod v Linux, 2. del",,2007-03-16 18:00:00+01,3
331,"Delavnica: Uvod v Linux, 3. del",,2007-03-19 18:00:00+01,3
332,"Delavnica: Uvod v Linux, 4. del",,2007-03-20 18:00:00+01,3
447,delavnica za sou: linux,,2007-10-24 17:00:00+02,3
1245,Double-Bill: Last Woman on Earth + Last Man on Earth,7,2011-01-20 18:30:00+01,4
1560,Dementia 13 (1963),13,2012-04-05 20:00:00+02,4
1418,Destinacija: Silicijeva dolina!,37,2011-08-17 19:00:00+02,16
1272,Detekcija izgub pri pospeševalnikih delcev,17,2011-05-03 19:00:00+02,44
721,Digitalne pogodbe in elektronski podpis,9,2009-04-16 19:00:00+02,37
632,Digitalne zgodbe,,2008-10-27 14:00:00+01,16
67,"Digitalno na platnu, Blaž Porenta",0,2006-05-05 20:00:00+02,12
799,Kaj mora vedeti vsak razvijalec o Windows 7?,16,2009-10-22 19:00:00+02,16
1216,Double Bill: The Devil’s Messenger + Carnival of souls,12,2010-11-18 18:30:00+01,4
1908,Najem STIKS računovodstvo in pravne podlage za društva,0,2013-05-14 18:00:00+02,16
1292,DIY Multitouch,25,2010-12-14 19:00:00+01,1
1312,DjangoCamp,16,2010-12-11 09:00:00+01,3
21,"Django, Jure Čuhalev",0,2006-03-29 19:00:00+02,6
1407,Django Meet Ljubljana,20,2011-07-06 18:00:00+02,17
1423,Django Meet Ljubljana,35,2011-09-13 18:00:00+02,1
1263,Document Freedom Day - Svetovni dan prostih formatov,5,2011-03-30 18:00:00+02,8
865,Document Freedom Day - Svetovni dan prostih formatov,28,2010-03-31 18:00:00+02,6
1566,#200: Slovenska startup scena,103,2012-04-11 19:00:00+02,6
907,Domen trening,,2010-05-20 22:00:00+02,33
289,Donald Trump - Apprentice s6e2,,2007-01-17 20:00:00+01,16
186,"DWI.bot: robot simulator vožnje pod vplivom alkohola, otvoritev",,2006-12-18 21:00:00+01,13
655,Drupal 101,21,2008-11-25 19:00:00+01,1
1351,Drupal 3. meetup ,14,2011-03-24 19:00:00+01,16
1436,Drupal Slovenia Meetup #5,12,2011-10-06 19:00:00+02,16
